"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2023","1,614.00","1,614.00","1,614.00","1,614.00","","1.32%"
"09/22/2023","1,593.00","1,593.00","1,593.00","1,593.00","","1.53%"
"09/21/2023","1,569.00","1,569.00","1,569.00","1,569.00","","-0.95%"
"09/20/2023","1,584.00","1,584.00","1,584.00","1,584.00","","3.80%"
"09/19/2023","1,526.00","1,526.00","1,526.00","1,526.00","","6.05%"
"09/18/2023","1,439.00","1,439.00","1,439.00","1,439.00","","4.20%"
"09/15/2023","1,381.00","1,381.00","1,381.00","1,381.00","","3.06%"
"09/14/2023","1,340.00","1,340.00","1,340.00","1,340.00","","3.88%"
"09/13/2023","1,290.00","1,290.00","1,290.00","1,290.00","","4.45%"
"09/12/2023","1,235.00","1,235.00","1,235.00","1,235.00","","2.15%"
"09/11/2023","1,209.00","1,209.00","1,209.00","1,209.00","","1.94%"
"09/08/2023","1,186.00","1,186.00","1,186.00","1,186.00","","3.94%"
"09/07/2023","1,141.00","1,141.00","1,141.00","1,141.00","","5.55%"
"09/06/2023","1,081.00","1,081.00","1,081.00","1,081.00","","1.69%"
"09/05/2023","1,063.00","1,063.00","1,063.00","1,063.00","","-1.85%"
"09/04/2023","1,083.00","1,083.00","1,083.00","1,083.00","","1.69%"
"09/01/2023","1,065.00","1,065.00","1,065.00","1,065.00","","-1.93%"
"08/31/2023","1,086.00","1,086.00","1,086.00","1,086.00","","-0.73%"
"08/30/2023","1,094.00","1,094.00","1,094.00","1,094.00","","-1.17%"
"08/29/2023","1,107.00","1,107.00","1,107.00","1,107.00","","2.50%"
"08/25/2023","1,080.00","1,080.00","1,080.00","1,080.00","","-2.70%"
"08/24/2023","1,110.00","1,110.00","1,110.00","1,110.00","","-3.56%"
"08/23/2023","1,151.00","1,151.00","1,151.00","1,151.00","","-3.60%"
"08/22/2023","1,194.00","1,194.00","1,194.00","1,194.00","","-2.37%"
"08/21/2023","1,223.00","1,223.00","1,223.00","1,223.00","","-1.13%"
"08/18/2023","1,237.00","1,237.00","1,237.00","1,237.00","","-0.80%"
"08/17/2023","1,247.00","1,247.00","1,247.00","1,247.00","","1.14%"
"08/16/2023","1,233.00","1,233.00","1,233.00","1,233.00","","5.75%"
"08/15/2023","1,166.00","1,166.00","1,166.00","1,166.00","","2.73%"
"08/14/2023","1,135.00","1,135.00","1,135.00","1,135.00","","0.53%"
"08/11/2023","1,129.00","1,129.00","1,129.00","1,129.00","","-0.70%"
"08/10/2023","1,137.00","1,137.00","1,137.00","1,137.00","","-0.61%"
"08/09/2023","1,144.00","1,144.00","1,144.00","1,144.00","","0.18%"
"08/08/2023","1,142.00","1,142.00","1,142.00","1,142.00","","-0.26%"
"08/07/2023","1,145.00","1,145.00","1,145.00","1,145.00","","0.79%"
"08/04/2023","1,136.00","1,136.00","1,136.00","1,136.00","","0.71%"
"08/03/2023","1,128.00","1,128.00","1,128.00","1,128.00","","0.45%"
"08/02/2023","1,123.00","1,123.00","1,123.00","1,123.00","","-2.35%"
"08/01/2023","1,150.00","1,150.00","1,150.00","1,150.00","","2.04%"
"07/31/2023","1,127.00","1,127.00","1,127.00","1,127.00","","1.53%"
"07/28/2023","1,110.00","1,110.00","1,110.00","1,110.00","","1.19%"
"07/27/2023","1,097.00","1,097.00","1,097.00","1,097.00","","2.81%"
"07/26/2023","1,067.00","1,067.00","1,067.00","1,067.00","","10.91%"
"07/25/2023","962.00","962.00","962.00","962.00","","-0.52%"
"07/24/2023","967.00","967.00","967.00","967.00","","-1.12%"
"07/21/2023","978.00","978.00","978.00","978.00","","0.10%"
"07/20/2023","977.00","977.00","977.00","977.00","","-2.69%"
"07/19/2023","1,004.00","1,004.00","1,004.00","1,004.00","","-3.18%"
"07/18/2023","1,037.00","1,037.00","1,037.00","1,037.00","","-3.36%"
"07/17/2023","1,073.00","1,073.00","1,073.00","1,073.00","","-1.56%"
"07/14/2023","1,090.00","1,090.00","1,090.00","1,090.00","","-1.18%"
